loan_details_key,term,grade,sub_grade,purpose,title,application_type,initial_list_status
1,36 months,A,A1,car,,Individual,f
2,36 months,A,A1,car,,Individual,w
3,36 months,A,A1,car,Car financing,Individual,f
4,36 months,A,A1,car,Car financing,Individual,w
5,36 months,A,A1,car,Car financing,Joint App,f
6,36 months,A,A1,car,Car financing,Joint App,w
7,36 months,A,A1,car,Toy Loan,Individual,f
8,36 months,A,A1,car,vwloan,Individual,f
9,36 months,A,A1,credit_card,,Individual,f
10,36 months,A,A1,credit_card,,Individual,w
11,36 months,A,A1,credit_card,,Joint App,f
12,36 months,A,A1,credit_card,,Joint App,w
13,36 months,A,A1,credit_card,Amex Refinance,Individual,w
14,36 months,A,A1,credit_card,CC Debt Loan,Individual,f
15,36 months,A,A1,credit_card,CC Loan,Individual,w
16,36 months,A,A1,credit_card,CC Refinance,Individual,f
17,36 months,A,A1,credit_card,Clearing Credit Cards,Individual,f
18,36 months,A,A1,credit_card,Consolidation of Debt,Individual,f
19,36 months,A,A1,credit_card,Credit Card Re-finance,Individual,f
20,36 months,A,A1,credit_card,Credit Card Refi,Individual,w
21,36 months,A,A1,credit_card,Credit Card Refinance,Individual,f
22,36 months,A,A1,credit_card,Credit Card Refinance Loan,Individual,w
23,36 months,A,A1,credit_card,Credit Debt Elimination,Individual,w
24,36 months,A,A1,credit_card,Credit Refi,Individual,f
25,36 months,A,A1,credit_card,Credit card refinancing,Individual,f
26,36 months,A,A1,credit_card,Credit card refinancing,Individual,w
27,36 months,A,A1,credit_card,Credit card refinancing,Joint App,f
28,36 months,A,A1,credit_card,Credit card refinancing,Joint App,w
29,36 months,A,A1,credit_card,Debt Considation,Individual,w
30,36 months,A,A1,credit_card,Debt ReFi,Individual,w
31,36 months,A,A1,credit_card,Debt consolidation,Individual,f
32,36 months,A,A1,credit_card,Debt consolidation,Individual,w
33,36 months,A,A1,credit_card,Discover Pay Off,Individual,f
34,36 months,A,A1,credit_card,FRESH START,Individual,f
35,36 months,A,A1,credit_card,Payoff,Individual,f
36,36 months,A,A1,credit_card,Personal Loan,Individual,f
37,36 months,A,A1,credit_card,bring all my bills together,Individual,f
38,36 months,A,A1,credit_card,cc payoff,Individual,f
39,36 months,A,A1,credit_card,credit card,Individual,f
40,36 months,A,A1,credit_card,credit card payoff,Individual,f
41,36 months,A,A1,credit_card,credit card refi,Individual,w
42,36 months,A,A1,credit_card,credit cards,Individual,w
43,36 months,A,A1,debt_consolidation,,Individual,f
44,36 months,A,A1,debt_consolidation,,Individual,w
45,36 months,A,A1,debt_consolidation,,Joint App,f
46,36 months,A,A1,debt_consolidation,,Joint App,w
47,36 months,A,A1,debt_consolidation,Bank of America credit card payoff,Individual,f
48,36 months,A,A1,debt_consolidation,Bye Bye Wells Fee-argo,Individual,w
49,36 months,A,A1,debt_consolidation,Complete Debt Consolidation,Individual,f
50,36 months,A,A1,debt_consolidation,Consolidation,Individual,w
51,36 months,A,A1,debt_consolidation,Credit Card Payment,Individual,w
52,36 months,A,A1,debt_consolidation,Credit card refinancing,Individual,f
53,36 months,A,A1,debt_consolidation,Credit card refinancing,Individual,w
54,36 months,A,A1,debt_consolidation,DEBT FREE IN 3,Individual,f
55,36 months,A,A1,debt_consolidation,Debt Consolidation,Individual,f
56,36 months,A,A1,debt_consolidation,Debt Consolidation,Individual,w
57,36 months,A,A1,debt_consolidation,Debt Consolidation Loan,Individual,f
58,36 months,A,A1,debt_consolidation,Debt Consolidation and Wedding,Individual,f
59,36 months,A,A1,debt_consolidation,Debt Refinance,Individual,w
60,36 months,A,A1,debt_consolidation,Debt consolidation,Individual,f
61,36 months,A,A1,debt_consolidation,Debt consolidation,Individual,w
62,36 months,A,A1,debt_consolidation,Debt consolidation,Joint App,f
63,36 months,A,A1,debt_consolidation,Debt consolidation,Joint App,w
64,36 months,A,A1,debt_consolidation,Eigheen5yrs,Individual,f
65,36 months,A,A1,debt_consolidation,High interest auto loan payoff,Individual,f
66,36 months,A,A1,debt_consolidation,Home improvement,Individual,f
67,36 months,A,A1,debt_consolidation,Home improvement,Individual,w
68,36 months,A,A1,debt_consolidation,LOWER RATE OF EXISTING LENDING CLUB LOAN,Individual,f
69,36 months,A,A1,debt_consolidation,Last one,Individual,w
70,36 months,A,A1,debt_consolidation,Lend2,Individual,w
71,36 months,A,A1,debt_consolidation,Loan Consolidation,Individual,w
72,36 months,A,A1,debt_consolidation,Lower my interest rate,Individual,w
73,36 months,A,A1,debt_consolidation,Lowering the interest rate,Individual,f
